site_year,exp_plot_number,block,plot,plot_id,N_level,tare1,fw1_plus_tare1,fw2_plus_tare1,ss_fw_plus_tare1,clean_grain_odw_plus_tare2,tare2,yc_clean_grain_odw_plus_tare_3,tare_3
Davis-16,302,15,2,72,175,1220,5574,3732,3054,320.86,7.92,7.01,7.01
Davis-16,303,15,3,73,125,1220,4602,3886,2850,249.59,7.92,7.01,7.01
Davis-16,304,15,4,74,75,1220,4224,3236,2428,178.19,7.92,7.01,7.01
Davis-16,305,15,5,75,225,1220,4390,4812,2926,268.1,7.92,7.01,7.01
Davis-16,401,16,1,76,75,1220,5240,1220,2140,194.08,7.92,7.01,7.01
Davis-16,402,16,2,77,125,1220,3700,3954,2372,196.92,7.92,7.01,7.01
Davis-16,403,16,3,78,175,1220,4540,3578,2814,262.24,7.92,7.01,7.01
Davis-16,404,16,4,79,0,1220,4854,1220,2166,159.99,7.92,7.01,7.01
Davis-16,405,16,5,80,225,1220,4266,3816,2460,211.76,7.92,7.01,7.01
Williams-17,101,17,1,81,225,1220,5484,1220,2280,254.82,7.96,7.01,7.01
Williams-17,102,17,2,82,0,1220,3174,1220,1730,168.48,7.96,7.01,7.01
Williams-17,103,17,3,83,125,1220,4908,1220,2064,236.30,7.96,7.01,7.01
Williams-17,104,17,4,84,175,1220,5276,1220,2264,273.99,7.96,7.01,7.01
Williams-17,105,17,5,85,275,1220,5190,1220,2010,203.07,7.96,7.01,7.01
Williams-17,106,17,6,86,45,1220,3692,1220,1778,175.37,7.96,7.01,7.01
Williams-17,107,17,7,87,75,1220,4062,1220,1936,211.79,7.96,7.01,7.01
Williams-17,201,18,1,88,275,1220,5272,1220,2038,201.65,7.96,7.01,7.01
Williams-17,202,18,2,89,75,1220,4322,1220,1898,195.73,7.96,7.01,7.01
Williams-17,203,18,3,90,125,1220,5388,1220,2092,243.25,7.96,7.01,7.01
Williams-17,204,18,4,91,0,1220,3788,1220,1756,162.89,7.96,7.01,7.01
Williams-17,205,18,5,92,175,1220,5294,1220,2080,224.51,7.96,7.01,7.01
Williams-17,206,18,6,93,45,1220,4690,1220,1944,214.92,7.96,7.01,7.01
Williams-17,207,18,7,94,225,1220,5692,1220,2172,207.18,7.96,7.01,7.01
Williams-17,301,19,1,95,275,1220,5932,1220,2080,192.09,7.96,7.01,7.01
Williams-17,302,19,2,96,125,1220,5300,1220,2012,211.15,7.96,7.01,7.01
Williams-17,303,19,3,97,45,1220,3700,1220,1770,158.69,7.96,7.01,7.01
Williams-17,304,19,4,98,175,1220,4840,1220,2020,222.02,7.96,7.01,7.01
Williams-17,305,19,5,99,225,1220,5146,1220,1984,197.85,7.96,7.01,7.01
Williams-17,306,19,6,100,0,1220,3106,1220,1776,165.50,7.96,7.01,7.01
Williams-17,307,19,7,101,75,1220,4200,1220,1876,192.17,7.96,7.01,7.01
Williams-17,401,20,1,102,45,1220,3560,1220,1818,206.03,7.96,7.01,7.01
Williams-17,402,20,2,103,125,1220,4398,1220,1908,214.89,7.96,7.01,7.01
Williams-17,403,20,3,104,225,1220,4956,1220,2094,252.43,7.96,7.01,7.01
Williams-17,404,20,4,105,175,1220,4656,1220,1868,193.40,7.96,7.01,7.01
Williams-17,405,20,5,106,0,1220,2858,1220,1596,135.52,7.96,7.01,7.01
Williams-17,406,20,6,107,75,1220,3974,1220,1918,228.08,7.96,7.01,7.01
Williams-17,407,20,7,108,275,1220,4728,1220,2064,222.80,7.96,7.01,7.01
Nicolaus-17,101,21,1,109,225,1220,4360,3254,2324,230.17,7.96,7.01,7.01
Nicolaus-17,102,21,2,110,0,1220,4818,1220,1814,173.45,7.96,7.01,7.01
Nicolaus-17,103,21,3,111,125,1220,5376,1220,1994,210.93,7.96,7.01,7.01
Nicolaus-17,104,21,4,112,175,1220,5598,1220,2126,232.56,7.96,7.01,7.01
Nicolaus-17,105,21,5,113,275,1220,5716,1220,2108,217.12,7.96,7.01,7.01
Nicolaus-17,106,21,6,114,45,1220,4852,1220,2106,265.11,7.96,7.01,7.01
Nicolaus-17,107,21,7,115,75,1220,4668,1220,1988,243.42,7.96,7.01,7.01
Nicolaus-17,201,22,1,116,275,1220,3580,3860,2202,228.27,7.96,7.01,7.01
Nicolaus-17,202,22,2,117,75,1220,4624,1220,2012,250.09,7.96,7.01,7.01
Nicolaus-17,203,22,3,118,125,1220,5692,1220,2016,205.12,7.96,7.01,7.01
Nicolaus-17,204,22,4,119,0,1220,4294,1220,1958,235.32,7.96,7.01,7.01
Nicolaus-17,205,22,5,120,175,1220,5466,1220,2072,226.38,7.96,7.01,7.01
Nicolaus-17,206,22,6,121,45,1220,4722,1220,1932,210.80,7.96,7.01,7.01
Nicolaus-17,207,22,7,122,225,1220,5878,1220,2174,227.56,7.96,7.01,7.01
Nicolaus-17,301,23,1,123,275,1220,5908,1220,2184,210.52,7.96,7.01,7.01
Nicolaus-17,302,23,2,124,125,1220,4836,1220,1980,232.15,7.96,7.01,7.01
Nicolaus-17,303,23,3,125,45,1220,4238,1220,1830,202.15,7.96,7.01,7.01
Nicolaus-17,304,23,4,126,175,1220,5848,1220,2242,253.52,7.96,7.01,7.01
Nicolaus-17,305,23,5,127,225,1220,5408,1220,2132,247.47,7.96,7.01,7.01
Nicolaus-17,306,23,6,128,0,1220,4206,1220,1814,188.37,7.96,7.01,7.01
Nicolaus-17,307,23,7,129,75,1220,5008,1220,1934,197.07,7.96,7.01,7.01
Nicolaus-17,401,24,1,130,45,1220,4440,1220,1926,227.54,7.96,7.01,7.01
Nicolaus-17,402,24,2,131,125,1220,5796,1220,2210,259.63,7.96,7.01,7.01
Nicolaus-17,403,24,3,132,225,1220,5538,1220,2216,249.71,7.96,7.01,7.01
Nicolaus-17,404,24,4,133,175,1220,5898,1220,2082,222.30,7.96,7.01,7.01
Nicolaus-17,405,24,5,134,0,1220,4466,1220,1800,185.26,7.96,7.01,7.01
Nicolaus-17,406,24,6,135,75,1220,5110,1220,2104,241.79,7.96,7.01,7.01
Nicolaus-17,407,24,7,136,275,1220,4656,3372,2246,223.25,7.96,7.01,7.01
Nicolaus-18,101,25,1,137,90,1220,4450,4180,2672,274.1,8.58,48.24,7.01
Nicolaus-18,102,25,2,138,180,1220,5334,3698,2620,238.58,8.58,37.5,7.01
Nicolaus-18,103,25,3,139,210,1220,4204,4464,2610,232.05,8.58,49.08,7.01
Nicolaus-18,104,25,4,140,120,1220,4250,4099,2552,257.25,8.58,47.45,7.01
Nicolaus-18,105,25,5,141,0,1220,4996,1220,2098,218.71,8.58,38.66,7.01
Nicolaus-18,106,25,6,142,150,1220,5148,3268,2482,253.23,8.58,56.59,7.01
Nicolaus-18,201,26,1,143,150,1214,5058,3564,2454,260.47,8.58,7.01,7.01
Nicolaus-18,202,26,2,144,210,1216,4208,4718,2430,229.98,8.58,7.01,7.01
Nicolaus-18,203,26,3,145,90,1216,4650,2826,2366,263.33,8.58,56.36,7.01
Nicolaus-18,204,26,4,146,0,1214,4424,1214,1952,194.7,8.58,40.32,7.01
Nicolaus-18,205,26,5,147,180,1216,3670,4420,2360,228.82,8.58,40.11,7.01
Nicolaus-18,206,26,6,148,120,1214,4282,3312,2252,242.3,8.58,7.01,7.01
Nicolaus-18,301,27,1,149,210,1216,3770,4728,2378,230.66,8.58,7.01,7.01
Nicolaus-18,302,27,2,150,0,1214,4296,1214,1990,206.04,8.58,36.09,7.01
Nicolaus-18,303,27,3,151,150,1214,4248,3702,2294,244.68,8.58,7.01,7.01
Nicolaus-18,304,27,4,152,90,1214,5642,1214,2020,206.18,8.58,44.68,7.01
Nicolaus-18,305,27,5,153,180,1214,4332,3792,2384,249.32,8.58,37.01,7.01
Nicolaus-18,306,27,6,154,120,1214,4434,3476,2236,234.68,8.58,7.01,7.01
Nicolaus-18,401,28,1,155,90,1214,5692,1214,2076,217.13,8.58,32.4,7.01
Nicolaus-18,402,28,2,156,210,1214,5054,3574,2342,231.66,8.58,7.01,7.01
Nicolaus-18,403,28,3,157,0,1214,4234,1214,1902,182.81,8.58,27.78,7.01
Nicolaus-18,404,28,4,158,180,1214,4920,3290,2300,237.97,8.58,47.29,7.01
Nicolaus-18,405,28,5,159,150,1214,4764,3134,2170,225.7,8.58,7.01,7.01
Nicolaus-18,406,28,6,160,120,1214,5248,2652,2176,222.8,8.58,7.01,7.01
Arbuckle-18,101,29,1,161,180,1218,5090,1218,1932,197.7,8.58,47.28,7.01
Arbuckle-18,102,29,2,162,210,1218,5628,1218,1848,177.15,8.58,7.01,7.01
Arbuckle-18,103,29,3,163,120,1218,4350,1218,1778,169.71,8.58,7.01,7.01
Arbuckle-18,104,29,4,164,0,1218,2878,1218,1576,71.51,8.58,22.79,7.01
Arbuckle-18,105,29,5,165,150,1218,5066,1218,1940,206.23,8.58,7.01,7.01
Arbuckle-18,106,29,6,166,150,1218,4934,1218,1854,177.84,8.58,7.01,7.01
Arbuckle-18,201,30,1,167,210,1220,5972,1220,2126,236.69,8.58,7.01,7.01
Arbuckle-18,202,30,2,168,90,1218,3938,1218,1816,161.6,8.58,34.08,7.01
Arbuckle-18,203,30,3,169,0,1220,2660,1220,1558,66.03,8.58,20.66,7.01
Arbuckle-18,204,30,4,170,180,1220,5376,1220,1992,210.8,8.58,48.67,7.01
Arbuckle-18,205,30,5,171,120,1220,5098,1220,1956,193.06,8.58,7.01,7.01
Arbuckle-18,206,30,6,172,90,1220,4342,1220,1876,178.13,8.58,41.7,7.01
Arbuckle-18,301,31,1,173,210,1218,5900,1218,2040,203.29,8.58,7.01,7.01
Arbuckle-18,302,31,2,174,0,1220,2478,1220,1484,63.52,8.58,21.84,7.01
Arbuckle-18,303,31,3,175,150,1220,5322,1220,1922,193.32,8.58,7.01,7.01
Arbuckle-18,304,31,4,176,90,1220,4146,1220,1762,157.14,8.58,34.49,7.01
Arbuckle-18,305,31,5,177,180,1220,5240,1220,1962,202.19,8.58,51.78,7.01
Arbuckle-18,306,31,6,178,120,1220,4456,1220,1890,199.7,8.58,7.01,7.01
Arbuckle-18,401,32,1,179,90,1220,4070,1220,1746,162.94,8.58,39.25,7.01
Arbuckle-18,402,32,2,180,210,1220,3088,4212,2050,204.96,8.58,7.01,7.01
Arbuckle-18,403,32,3,181,0,1220,2492,1220,1540,77.59,8.58,19.4,7.01
Arbuckle-18,404,32,4,182,180,1220,5020,1220,1974,184.35,8.58,28.86,7.01
Arbuckle-18,405,32,5,183,150,1220,4790,1220,1964,205.21,8.58,7.01,7.01
Arbuckle-18,406,32,6,184,120,1220,4402,1220,1916,207.65,8.58,7.01,7.01
Marysville-18,101,33,1,185,90,1214,4176,3082,2174,187.58,8.58,37.98,7.01
Marysville-18,102,33,2,186,180,1220,5960,1220,1954,151.99,8.58,51.92,7.01
Marysville-18,103,33,3,187,210,1220,5980,1220,1978,167.36,8.58,7.01,7.01
Marysville-18,104,33,4,188,120,1220,4496,3086,2224,208.33,8.58,7.01,7.01
Marysville-18,105,33,5,189,0,1214,5346,1214,1946,164.39,8.58,36.79,7.01
Marysville-18,106,33,6,190,150,1220,6004,1220,1936,154.8,8.58,7.01,7.01
Marysville-18,201,34,1,191,150,1220,4714,2626,2042,188.68,8.58,7.01,7.01
Marysville-18,202,34,2,192,210,1220,4858,2700,2056,169.55,8.58,7.01,7.01
Marysville-18,203,34,3,193,90,1214,5468,2868,2206,175.79,8.58,42.74,7.01
Marysville-18,204,34,4,194,0,1214,5024,1214,1876,138.6,8.58,44.87,7.01
Marysville-18,205,34,5,195,180,1220,5626,1220,1888,150.13,8.58,57.21,7.01
Marysville-18,206,34,6,196,120,1220,3040,4806,2168,184.46,8.58,7.01,7.01
Marysville-18,301,35,1,197,210,1220,4392,3516,2044,168.9,8.58,7.01,7.01
Marysville-18,302,35,2,198,0,1214,4724,1214,1742,112.02,8.58,41.26,7.01
Marysville-18,303,35,3,199,150,1220,5962,1220,1936,158.78,8.58,7.01,7.01
Marysville-18,304,35,4,200,90,1214,4810,2878,2112,170.94,8.58,53.8,7.01
Marysville-18,305,35,5,201,180,1220,3056,4200,2018,157.31,8.58,65.37,7.01
Marysville-18,306,35,6,202,120,1220,3312,4280,2112,192.46,8.58,7.01,7.01
Marysville-18,401,36,1,203,90,1214,4494,3534,2132,157.07,8.58,51.01,7.01
Marysville-18,402,36,2,204,210,1220,3094,4358,2054,175.9,8.58,7.01,7.01
Marysville-18,403,36,3,205,0,1214,4280,1214,1702,115.05,8.58,43.41,7.01
Marysville-18,404,36,4,206,180,1220,4050,3190,2188,203.01,8.58,55.26,7.01
Marysville-18,405,36,5,207,150,1220,4688,2828,2046,172.15,8.58,7.01,7.01
Marysville-18,406,36,6,208,120,1220,2502,5280,2210,193.1,8.58,7.01,7.01
Biggs-18,102,37,2,209,180,1100,6006,1100,2068,203.49,8.58,32.78,7.01
Biggs-18,103,37,3,210,210,1100,4386,3204,2000,188.1,8.58,7.01,7.01
Biggs-18,104,37,4,211,120,1100,5964,1100,2044,225.47,8.58,7.01,7.01
Biggs-18,105,37,5,212,0,1100,3640,1100,1714,185.88,8.58,34.53,7.01
Biggs-18,106,37,6,213,150,1100,4800,2312,2050,230.17,8.58,7.01,7.01
Biggs-18,201,38,1,214,150,1098,5368,1978,1918,177.67,8.58,7.01,7.01
Biggs-18,202,38,2,215,210,1098,5014,2524,1930,184.19,8.58,7.01,7.01
Biggs-18,203,38,3,216,90,1098,4858,1098,1826,186.65,8.58,48.68,7.01
Biggs-18,204,38,4,217,0,1098,3130,1098,1552,134.95,8.58,34.66,7.01
Biggs-18,205,38,5,218,180,1098,5646,1098,1818,161.51,8.58,59.96,7.01
Biggs-18,206,38,6,219,120,1098,5522,1098,1826,177.96,8.58,7.01,7.01
Biggs-18,301,39,1,220,210,1098,5250,2206,1970,188.19,8.58,7.01,7.01
Biggs-18,302,39,2,221,0,1098,3256,1098,1514,119.35,8.58,50.28,7.01
Biggs-18,303,39,3,222,150,1098,5624,1540,1850,174.65,8.58,7.01,7.01
Biggs-18,304,39,4,223,90,1098,5550,1098,1816,172.75,8.58,59.17,7.01
Biggs-18,305,39,5,224,180,1098,5902,1098,1912,180.96,8.58,59.29,7.01
Biggs-18,306,39,6,225,120,1098,5752,1098,1874,195.17,8.58,7.01,7.01
Biggs-18,401,40,1,226,90,1098,5216,1098,1864,208.2,8.58,50.74,7.01
Biggs-18,402,40,2,227,210,1098,4994,2322,2000,194.98,8.58,7.01,7.01
Biggs-18,403,40,3,228,0,1098,3346,1098,1546,136.54,8.58,36.06,7.01
Biggs-18,404,40,4,229,180,1098,5700,1098,1826,172.76,8.58,57.23,7.01
Biggs-18,405,40,5,230,150,1098,5866,1098,1808,175.35,8.58,7.01,7.01
Biggs-18,406,40,6,231,120,1098,5714,1098,1842,187.02,8.58,7.01,7.01
